id,title,description,priority_label,impact_annotation,urgency_annotation,category
A-M-026,Aufzug bleibt kurz zwischen Etagen stehen,Der Aufzug stoppt kurz zwischen Etagen.,MEDIUM,mittel,mittel,Aufzug
A-M-027,Aufzug reagiert nicht auf einzelne Tasten,Einzelne Tasten reagieren nicht.,MEDIUM,mittel,mittel,Aufzug
A-M-028,Aufzugtüren öffnen ruckartig,Die Türen öffnen ruckartig.,MEDIUM,mittel,mittel,Aufzug
A-M-029,Aufzug fährt unruhig,Der Aufzug fährt spürbar unruhig.,MEDIUM,mittel,mittel,Aufzug
A-M-030,Aufzug macht Knackgeräusche,Beim Betrieb sind Knackgeräusche hörbar.,MEDIUM,mittel,mittel,Aufzug
A-M-031,Aufzug bleibt kurz bei Etage eins stehen,Der Aufzug bleibt kurz bei Etage eins stehen.,MEDIUM,mittel,mittel,Aufzug
A-M-032,Aufzug reagiert verzögert auf Notruf,Der Aufzug reagiert verzögert auf Notruf.,MEDIUM,mittel,mittel,Aufzug
A-M-033,Aufzug zeigt unklare Meldung,Der Aufzug zeigt eine unklare Meldung.,MEDIUM,mittel,mittel,Aufzug
A-M-034,Aufzug fährt langsamer nach Wartung,Der Aufzug fährt langsamer seit Wartung.,MEDIUM,mittel,mittel,Aufzug
A-M-035,Aufzug bleibt gelegentlich stehen,Der Aufzug bleibt gelegentlich stehen.,MEDIUM,mittel,mittel,Aufzug
A-M-036,Aufzug fährt nicht gleichmäßig,Die Fahrt ist nicht gleichmäßig.,MEDIUM,mittel,mittel,Aufzug
A-M-037,Aufzug zeigt sporadische Störung,Der Aufzug zeigt sporadisch Störungen.,MEDIUM,mittel,mittel,Aufzug
A-M-038,Aufzug reagiert langsam auf Steuerung,Die Steuerung reagiert langsam.,MEDIUM,mittel,mittel,Aufzug
A-M-039,Aufzug macht metallische Geräusche,Es sind metallische Geräusche hörbar.,MEDIUM,mittel,mittel,Aufzug
A-M-040,Aufzug bleibt kurz vor Ziel stehen,Der Aufzug stoppt kurz vor dem Ziel.,MEDIUM,mittel,mittel,Aufzug
A-M-041,Aufzug fährt unruhig bei Last,Der Aufzug fährt unruhig bei höherer Last.,MEDIUM,mittel,mittel,Aufzug
A-M-042,Aufzug zeigt Wartungsbedarf,Der Aufzug zeigt Wartungsbedarf an.,MEDIUM,mittel,mittel,Aufzug
A-M-043,Aufzug reagiert verzögert bei Etagenwahl,Die Etagenwahl reagiert verzögert.,MEDIUM,mittel,mittel,Aufzug
A-M-044,Aufzug bleibt kurz nach Start stehen,Der Aufzug stoppt kurz nach dem Start.,MEDIUM,mittel,mittel,Aufzug
A-M-045,Aufzug fährt zeitweise ruckelig,Der Aufzug fährt zeitweise ruckelig.,MEDIUM,mittel,mittel,Aufzug
A-M-046,Aufzug macht vibrierende Geräusche,Vibrierende Geräusche sind hörbar.,MEDIUM,mittel,mittel,Aufzug
A-M-047,Aufzug reagiert verzögert im Betrieb,Der Aufzug reagiert verzögert im Betrieb.,MEDIUM,mittel,mittel,Aufzug
A-M-048,Aufzug bleibt bei Etage drei stehen,Der Aufzug bleibt kurz bei Etage drei stehen.,MEDIUM,mittel,mittel,Aufzug
A-M-049,Aufzug fährt langsamer nach Stromausfall,Der Aufzug fährt langsamer nach Stromausfall.,MEDIUM,mittel,mittel,Aufzug
A-M-050,Aufzug zeigt temporäre Störung,Der Aufzug zeigt eine temporäre Störung.,MEDIUM,mittel,mittel,Aufzug
A-M-051,Aufzug reagiert ungleichmäßig auf Last,Der Aufzug reagiert ungleichmäßig auf Last.,MEDIUM,mittel,mittel,Aufzug
A-M-052,Aufzug macht schleifende Geräusche,Es sind schleifende Geräusche hörbar.,MEDIUM,mittel,mittel,Aufzug
A-M-053,Aufzug bleibt kurz bei Etagenwechsel stehen,Der Aufzug stoppt kurz beim Etagenwechsel.,MEDIUM,mittel,mittel,Aufzug
A-M-054,Aufzug fährt verzögert nach längerer Pause,Der Aufzug fährt verzögert nach Pause.,MEDIUM,mittel,mittel,Aufzug
A-M-055,Aufzug reagiert langsam auf Notruf,Der Notruf reagiert verzögert.,MEDIUM,mittel,mittel,Aufzug
A-M-056,Aufzug zeigt sporadische Fehlfunktion,Der Aufzug zeigt sporadische Fehlfunktionen.,MEDIUM,mittel,mittel,Aufzug
A-M-057,Aufzug fährt unruhig bei hoher Nutzung,Der Aufzug fährt unruhig bei hoher Nutzung.,MEDIUM,mittel,mittel,Aufzug
A-M-058,Aufzug bleibt kurz bei Stoßzeiten stehen,Der Aufzug stoppt kurz bei Stoßzeiten.,MEDIUM,mittel,mittel,Aufzug
A-M-059,Aufzug reagiert verzögert auf Steuerbefehle,Die Steuerbefehle werden verzögert umgesetzt.,MEDIUM,mittel,mittel,Aufzug
A-M-060,Aufzug zeigt wiederkehrende Warnmeldungen,Der Aufzug zeigt wiederkehrende Warnmeldungen.,MEDIUM,mittel,mittel,Aufzug
A-L-001,Aufzug-Kabine leicht verschmutzt,In der Aufzugkabine befinden sich leichte Verschmutzungen.,LOW,gering,gering,Aufzug
A-L-002,Aufzugknopf leicht locker,Ein Knopf im Aufzug sitzt leicht locker.,LOW,gering,gering,Aufzug
A-L-003,Aufzuganzeige schwer lesbar,Die Etagenanzeige ist etwas schwer lesbar.,LOW,gering,gering,Aufzug
A-L-004,Aufzugtüren quietschen leise,Die Aufzugstüren quietschen leicht beim Öffnen.,LOW,gering,gering,Aufzug
A-L-005,Aufzugkabine riecht muffig,In der Aufzugkabine ist ein muffiger Geruch wahrnehmbar.,LOW,gering,gering,Aufzug
A-L-006,Aufzugbeleuchtung etwas dunkel,Die Beleuchtung im Aufzug ist etwas dunkel.,LOW,gering,gering,Aufzug
A-L-007,Aufzuganzeige flackert leicht,Die Anzeige flackert gelegentlich.,LOW,gering,gering,Aufzug
A-L-008,Aufzugknöpfe abgenutzt,Die Tasten im Aufzug sind sichtbar abgenutzt.,LOW,gering,gering,Aufzug
A-L-009,Aufzugkabine hat Kratzer,In der Kabine befinden sich kleinere Kratzer.,LOW,gering,gering,Aufzug
A-L-010,Aufzug fährt minimal ruckelig,Der Aufzug fährt minimal ruckelig.,LOW,gering,gering,Aufzug
A-L-011,Aufzugtür schließt laut,Die Tür schließt etwas lauter als gewohnt.,LOW,gering,gering,Aufzug
A-L-012,Aufzugkabine wirkt alt,Die Aufzugkabine wirkt optisch veraltet.,LOW,gering,gering,Aufzug
A-L-013,Aufzuganzeige verzögert,Die Etagenanzeige reagiert leicht verzögert.,LOW,gering,gering,Aufzug
A-L-014,Aufzugtasten reagieren träge,Die Tasten reagieren etwas träge.,LOW,gering,gering,Aufzug
A-L-015,Aufzugkabine leicht beschädigt,Leichte Beschädigungen in der Kabine sichtbar.,LOW,gering,gering,Aufzug
A-L-016,Aufzug macht leises Summen,Der Aufzug macht ein leises Summgeräusch.,LOW,gering,gering,Aufzug
A-L-017,Aufzugspiegel verschmutzt,Der Spiegel im Aufzug ist verschmutzt.,LOW,gering,gering,Aufzug
A-L-018,Aufzugboden abgenutzt,Der Boden im Aufzug ist abgenutzt.,LOW,gering,gering,Aufzug
A-L-019,Aufzugtüren schließen etwas langsam,Die Türen schließen etwas langsamer.,LOW,gering,gering,Aufzug
A-L-020,Aufzugkabine riecht nach Reinigungsmittel,Starker Geruch nach Reinigungsmittel.,LOW,gering,gering,Aufzug
A-L-021,Aufzugknöpfe klebrig,Die Tasten fühlen sich klebrig an.,LOW,gering,gering,Aufzug
A-L-022,Aufzuganzeige verkratzt,Die Anzeige ist verkratzt.,LOW,gering,gering,Aufzug
A-L-023,Aufzugkabine leicht verstaubt,Die Kabine ist leicht verstaubt.,LOW,gering,gering,Aufzug
A-L-024,Aufzugtürrahmen verschmutzt,Der Türrahmen ist verschmutzt.,LOW,gering,gering,Aufzug
A-L-025,Aufzug fährt minimal langsamer,Der Aufzug fährt minimal langsamer.,LOW,gering,gering,Aufzug
A-L-026,Aufzugknöpfe verblasst,Die Beschriftung der Knöpfe ist verblasst.,LOW,gering,gering,Aufzug
A-L-027,Aufzugkabine wirkt ungepflegt,Die Kabine wirkt ungepflegt.,LOW,gering,gering,Aufzug
A-L-028,Aufzuganzeige zeigt kleine Pixelfehler,Die Anzeige zeigt kleine Pixelfehler.,LOW,gering,gering,Aufzug
A-L-029,Aufzugtür schließt ruckartig,Die Tür schließt leicht ruckartig.,LOW,gering,gering,Aufzug
A-L-030,Aufzugkabine riecht leicht,Leichter Geruch in der Kabine.,LOW,gering,gering,Aufzug
A-L-031,Aufzugtasten leicht verschmutzt,Die Tasten sind leicht verschmutzt.,LOW,gering,gering,Aufzug
A-L-032,Aufzugboden hat Flecken,Der Boden weist Flecken auf.,LOW,gering,gering,Aufzug
A-L-033,Aufzuganzeige etwas träge,Die Anzeige reagiert etwas träge.,LOW,gering,gering,Aufzug
A-L-034,Aufzugkabine leicht beschädigte Wand,Eine Wand ist leicht beschädigt.,LOW,gering,gering,Aufzug
A-L-035,Aufzugtüren quietschen minimal,Leises Quietschen der Türen.,LOW,gering,gering,Aufzug
A-L-036,Aufzug fährt unauffällig langsamer,Unauffällige leichte Verzögerung.,LOW,gering,gering,Aufzug
A-L-037,Aufzugknopf schwer zu lesen,Ein Knopf ist schwer lesbar.,LOW,gering,gering,Aufzug
A-L-038,Aufzugkabine hat Gebrauchsspuren,Sichtbare Gebrauchsspuren in der Kabine.,LOW,gering,gering,Aufzug
A-L-039,Aufzuganzeige leicht verschmutzt,Die Anzeige ist leicht verschmutzt.,LOW,gering,gering,Aufzug
A-L-040,Aufzugtür schließt mit Verzögerung,Die Tür schließt mit leichter Verzögerung.,LOW,gering,gering,Aufzug
A-H-081,Aufzug fährt mit offen stehenden Türen,"Der Aufzug fährt los, obwohl die Türen nicht vollständig geschlossen sind.",HIGH,hoch,hoch,Aufzug
A-H-082,Starker Rauchgeruch im Aufzugschacht,Aus dem Bereich des Aufzugschachts riecht es stark nach Rauch.,HIGH,hoch,hoch,Aufzug
A-H-083,Aufzug stoppt mit lauten Schlägen,Während der Fahrt stoppt der Aufzug mit einem lauten Schlag.,HIGH,hoch,hoch,Aufzug
A-H-084,Aufzug fährt in falsche Etage,Der Aufzug fährt in eine andere Etage als ausgewählt.,HIGH,hoch,hoch,Aufzug
A-H-085,Aufzug setzt wiederholt Notstopp,Der Aufzug löst während der Fahrt mehrfach den Notstopp aus.,HIGH,hoch,hoch,Aufzug
A-H-086,Aufzugtür klemmt mit Person,Die Aufzugtür klemmt und eine Person kommt nicht heraus.,HIGH,hoch,hoch,Aufzug
A-H-087,Aufzug fällt nach kurzer Fahrt aus,Nach wenigen Metern Fahrt bleibt der Aufzug stehen und schaltet ab.,HIGH,hoch,hoch,Aufzug
A-H-088,Aufzug rollt nach Halt nach,Nach dem Anhalten rollt der Aufzug spürbar nach.,HIGH,hoch,hoch,Aufzug
A-H-089,Aufzug lässt sich nicht öffnen,"Die Aufzugtüren lassen sich nicht öffnen, Kabine bleibt geschlossen.",HIGH,hoch,hoch,Aufzug
A-H-090,Aufzugsteuerung komplett ohne Anzeige,"Im Bedienpanel sind alle Anzeigen aus, der Aufzug reagiert nicht.",HIGH,hoch,hoch,Aufzug
A-M-061,Aufzugtür schließt zu schnell,Die Türen schließen ungewöhnlich schnell und wirken unsicher.,MEDIUM,mittel,mittel,Aufzug
A-M-062,Aufzug hält ruckartig an Etagen,Beim Erreichen der Etage hält der Aufzug spürbar ruckartig an.,MEDIUM,mittel,mittel,Aufzug
A-M-063,Aufzugtastenbeleuchtung defekt,Die Beleuchtung der Tasten funktioniert nicht mehr.,MEDIUM,mittel,mittel,Aufzug
A-M-064,Aufzuganzeige zeigt falsche Etage,Die Etagenanzeige zeigt gelegentlich falsche Werte.,MEDIUM,mittel,mittel,Aufzug
A-M-065,Aufzugtür schließt nicht beim ersten Versuch,Die Tür schließt erst nach mehreren Versuchen vollständig.,MEDIUM,mittel,mittel,Aufzug
A-M-066,Aufzug vibriert während der Fahrt,Während der Fahrt sind deutliche Vibrationen spürbar.,MEDIUM,mittel,mittel,Aufzug
A-M-067,Aufzug hält zu lange zwischen Etagen,"Der Aufzug bleibt ungewöhnlich lange zwischen Etagen stehen, fährt dann weiter.",MEDIUM,mittel,mittel,Aufzug
A-M-068,Aufzug startet mit Verzögerung nach Türschluss,Nach dem Schließen der Tür startet der Aufzug erst nach längerer Verzögerung.,MEDIUM,mittel,mittel,Aufzug
A-M-069,Aufzug fährt unruhig bergab,Beim Herunterfahren ist die Fahrt deutlich unruhiger als sonst.,MEDIUM,mittel,mittel,Aufzug
A-M-070,Aufzugtür schließt nicht bündig,"Die Aufzugtür schließt, bleibt aber leicht versetzt stehen.",MEDIUM,mittel,mittel,Aufzug
A-M-071,Aufzug meldet sporadisch Türstörung,"Im Display erscheint gelegentlich eine Türstörung, Betrieb geht weiter.",MEDIUM,mittel,mittel,Aufzug
A-M-072,Aufzug reagiert auf Ruf nur nach mehrmaligem Drücken,"Der Aufzug kommt erst, wenn die Ruftaste mehrfach gedrückt wird.",MEDIUM,mittel,mittel,Aufzug
A-M-073,Aufzug bleibt kurz nach dem Öffnen stehen,"Nach dem Öffnen der Türen bleibt die Kabine kurz stehen, bevor sie die Tür freigibt.",MEDIUM,mittel,mittel,Aufzug
A-M-074,Aufzug macht schleppende Geräusche beim Anfahren,Beim Anfahren entstehen schleppende Geräusche aus dem Schacht.,MEDIUM,mittel,mittel,Aufzug
A-M-075,Aufzug läuft im Service-Modus,Der Aufzug zeigt Service-Modus und ist nur eingeschränkt nutzbar.,MEDIUM,mittel,mittel,Aufzug
A-M-076,Aufzugtür öffnet nur teilweise,Die Tür öffnet sich nur teilweise und schließt dann wieder.,MEDIUM,mittel,mittel,Aufzug
A-M-077,Aufzug bleibt beim Türöffnen kurz hängen,Beim Türöffnen bleibt der Mechanismus kurz hängen.,MEDIUM,mittel,mittel,Aufzug
A-M-078,Aufzug fährt mit kurzen Stopps,Während der Fahrt gibt es mehrere kurze Stopps ohne Etagenhalt.,MEDIUM,mittel,mittel,Aufzug
A-M-079,Aufzug reagiert empfindlich auf Gewicht,Bei etwas mehr Last wirkt der Aufzug deutlich langsamer und träge.,MEDIUM,mittel,mittel,Aufzug
A-M-080,Aufzug zeigt wiederkehrenden Reset,Das Bedienpanel startet gelegentlich neu (Reset) und läuft danach weiter.,MEDIUM,mittel,mittel,Aufzug
A-L-041,Hinweisschild im Aufzug beschädigt,Ein Hinweisschild in der Kabine ist beschädigt oder eingerissen.,LOW,gering,gering,Aufzug
A-L-042,Aufzugkabinenlicht flackert leicht,"Das Kabinenlicht flackert leicht, der Betrieb ist sonst normal.",LOW,gering,gering,Aufzug
A-L-043,Aufzugknöpfe wirken stumpf,Die Tasten wirken optisch stumpf und abgenutzt.,LOW,gering,gering,Aufzug
A-L-044,Aufzugboden knarzt,Der Boden in der Kabine knarzt beim Betreten.,LOW,gering,gering,Aufzug
A-L-045,Aufzugtür hat kleine Kratzer,An der Aufzugtür sind kleine Kratzer sichtbar.,LOW,gering,gering,Aufzug
A-L-046,Kabinenlüfter laut,Der Lüfter in der Kabine ist ungewöhnlich laut.,LOW,gering,gering,Aufzug
A-L-047,Etagenanzeige leicht beschlagen,Die Etagenanzeige ist leicht beschlagen und schwerer zu erkennen.,LOW,gering,gering,Aufzug
A-L-048,Aufzugtasten klappern leicht,Beim Drücken klappern die Tasten leicht.,LOW,gering,gering,Aufzug
A-L-049,Kabinenwand leicht verschmutzt,An einer Kabinenwand sind leichte Verschmutzungen sichtbar.,LOW,gering,gering,Aufzug
A-L-050,Aufzug riecht leicht nach Öl,In der Kabine ist ein leichter Ölgeruch wahrnehmbar.,LOW,gering,gering,Aufzug
TF-H-001,Eingangstür lässt sich nicht schließen,Die Haupteingangstür lässt sich nicht mehr vollständig schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-002,Eingangstür klemmt stark,Die Eingangstür klemmt und blockiert den Zugang.,HIGH,hoch,hoch,Türen/Fenster
TF-H-003,Hauseingangstür schließt nicht automatisch,Die automatische Schließfunktion der Eingangstür ist defekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-004,Kellertür steht dauerhaft offen,Die Kellertür lässt sich nicht mehr schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-005,Kellertürschloss defekt,Das Schloss der Kellertür ist defekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-006,Brandschutztür schließt nicht,Eine Brandschutztür schließt nicht selbstständig.,HIGH,hoch,hoch,Türen/Fenster
TF-H-007,Fluchttür blockiert,Die Fluchttür ist blockiert und lässt sich nicht öffnen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-008,Notausgangstür defekt,Der Notausgang kann nicht geöffnet werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-009,Balkontür nicht abschließbar,Die Balkontür lässt sich nicht mehr abschließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-010,Fenster lässt sich nicht schließen,Ein Fenster lässt sich nicht mehr schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-011,Fensterrahmen stark beschädigt,Der Fensterrahmen ist stark beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-012,Fenster undicht bei Regen,Bei Regen dringt Wasser durch das Fenster ein.,HIGH,hoch,hoch,Türen/Fenster
TF-H-013,Fensterscheibe gesprungen,Eine Fensterscheibe ist gesprungen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-014,Fensterscheibe stark beschädigt,Die Fensterscheibe ist stark beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-015,Haustür lässt sich nicht öffnen,Die Haustür lässt sich nicht mehr öffnen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-016,Haustürschloss blockiert,Das Schloss der Haustür ist blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-017,Türgriff abgebrochen,Der Türgriff ist abgebrochen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-018,Türblatt verzogen,Das Türblatt ist stark verzogen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-019,Wohnungstür schließt nicht richtig,Die Wohnungstür schließt nicht mehr korrekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-020,Wohnungstür nicht abschließbar,Die Wohnungstür kann nicht abgeschlossen werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-021,Fenstermechanik defekt,Die Fenstermechanik ist vollständig defekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-022,Fenster fällt aus Rahmen,Das Fenster droht aus dem Rahmen zu fallen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-023,Terrassentür klemmt stark,Die Terrassentür klemmt stark.,HIGH,hoch,hoch,Türen/Fenster
TF-H-024,Terrassentür schließt nicht,Die Terrassentür lässt sich nicht schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-025,Kellerfenster offen und defekt,Ein Kellerfenster ist offen und defekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-026,Kellerfenster nicht abschließbar,Das Kellerfenster kann nicht verschlossen werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-027,Fensterrahmen löst sich,Der Fensterrahmen löst sich aus der Wand.,HIGH,hoch,hoch,Türen/Fenster
TF-H-028,Glaseinsatz in Tür beschädigt,Der Glaseinsatz in der Tür ist beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-029,Tür schließt nicht mehr bündig,Die Tür schließt nicht mehr bündig.,HIGH,hoch,hoch,Türen/Fenster
TF-H-030,Tür fällt aus den Angeln,Die Tür droht aus den Angeln zu fallen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-031,Fenstergriff fehlt,Der Fenstergriff fehlt vollständig.,HIGH,hoch,hoch,Türen/Fenster
TF-H-032,Fenster lässt sich nicht kippen,Das Fenster kann nicht mehr gekippt werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-033,Türrahmen gebrochen,Der Türrahmen ist gebrochen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-034,Haustür steht offen wegen Defekt,Die Haustür bleibt wegen eines Defekts offen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-035,Türverriegelung defekt,Die Verriegelung der Tür funktioniert nicht.,HIGH,hoch,hoch,Türen/Fenster
TF-H-036,Fenster schließt bei Sturm nicht,Bei Sturm lässt sich das Fenster nicht schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-037,Fenster undicht bei starkem Wind,Starker Luftzug durch undichtes Fenster.,HIGH,hoch,hoch,Türen/Fenster
TF-H-038,Notausgang blockiert durch defekte Tür,Die Notausgangstür ist defekt und blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-039,Brandschutztür defekter Schließmechanismus,Der Schließmechanismus der Brandschutztür ist defekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-040,Haustürverglasung beschädigt,Die Verglasung der Haustür ist beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-041,Fensterscheibe locker,Die Fensterscheibe sitzt locker.,HIGH,hoch,hoch,Türen/Fenster
TF-H-042,Tür schließt wegen Verzug nicht,Die Tür schließt wegen Verzug nicht mehr.,HIGH,hoch,hoch,Türen/Fenster
TF-H-043,Fensterflügel hängt schief,Der Fensterflügel hängt schief.,HIGH,hoch,hoch,Türen/Fenster
TF-H-044,Tür blockiert Fluchtweg,Eine defekte Tür blockiert den Fluchtweg.,HIGH,hoch,hoch,Türen/Fenster
TF-H-045,Fenster lässt sich nicht mehr öffnen,Das Fenster lässt sich nicht öffnen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-046,Fenster springt bei Wind auf,Das Fenster springt bei Wind auf.,HIGH,hoch,hoch,Türen/Fenster
TF-H-047,Balkontür schließt nicht dicht,Die Balkontür schließt nicht dicht.,HIGH,hoch,hoch,Türen/Fenster
TF-H-048,Türschloss durch Einbruch beschädigt,Das Türschloss wurde bei einem Einbruch beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-049,Fensterrahmen stark verzogen,Der Fensterrahmen ist stark verzogen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-050,Tür fällt selbstständig auf,Die Tür fällt unkontrolliert zu.,HIGH,hoch,hoch,Türen/Fenster
TF-H-051,Fenster schließt nicht bei Frost,Bei Frost lässt sich das Fenster nicht schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-052,Tür lässt sich von außen nicht öffnen,Die Tür kann von außen nicht geöffnet werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-053,Fensterrahmen undicht,Wasser dringt am Fensterrahmen ein.,HIGH,hoch,hoch,Türen/Fenster
TF-H-054,Türverglasung gesprungen,Die Türverglasung ist gesprungen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-055,Haustür blockiert durch Mechanik,Die Haustür blockiert durch einen Mechanikfehler.,HIGH,hoch,hoch,Türen/Fenster
TF-H-056,Tür schließt nicht mehr vollständig,Die Tür schließt nicht vollständig.,HIGH,hoch,hoch,Türen/Fenster
TF-H-057,Fenstermechanismus blockiert,Der Fenstermechanismus ist blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-058,Türverriegelung greift nicht,Die Verriegelung greift nicht mehr.,HIGH,hoch,hoch,Türen/Fenster
TF-H-059,Fenster steht dauerhaft offen,Ein Fenster lässt sich nicht schließen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-060,Tür klemmt durch Feuchtigkeit,Die Tür klemmt stark durch Feuchtigkeit.,HIGH,hoch,hoch,Türen/Fenster
TF-H-061,Fensterrahmen bricht,Der Fensterrahmen zeigt Rissbildung.,HIGH,hoch,hoch,Türen/Fenster
TF-H-062,Notausgang lässt sich nicht öffnen,Der Notausgang kann nicht geöffnet werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-063,Tür beschädigt nach Vandalismus,Die Tür wurde durch Vandalismus beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-064,Fenster lässt sich nicht verriegeln,Das Fenster kann nicht verriegelt werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-065,Tür schließt nicht mehr sicher,Die Tür schließt nicht mehr sicher.,HIGH,hoch,hoch,Türen/Fenster
TF-H-066,Fenster undicht bei Schnee,Bei Schnee dringt Wasser durch das Fenster.,HIGH,hoch,hoch,Türen/Fenster
TF-H-067,Türrahmen locker,Der Türrahmen ist locker.,HIGH,hoch,hoch,Türen/Fenster
TF-H-068,Fenstergriff blockiert,Der Fenstergriff blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-069,Tür schließt wegen Defekt nicht automatisch,Die Tür schließt nicht automatisch.,HIGH,hoch,hoch,Türen/Fenster
TF-H-070,Fenster fällt beim Öffnen zurück,Das Fenster fällt beim Öffnen zurück.,HIGH,hoch,hoch,Türen/Fenster
TF-H-071,Türblatt beschädigt,Das Türblatt ist beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-072,Fensterrahmen löst sich außen,Der äußere Fensterrahmen löst sich.,HIGH,hoch,hoch,Türen/Fenster
TF-H-073,Tür lässt sich nicht verriegeln,Die Tür lässt sich nicht verriegeln.,HIGH,hoch,hoch,Türen/Fenster
TF-H-074,Fenster bei Sturm gefährlich locker,Das Fenster ist bei Sturm gefährlich locker.,HIGH,hoch,hoch,Türen/Fenster
TF-H-075,Tür schließt nicht bei Wind,Die Tür schließt bei Wind nicht.,HIGH,hoch,hoch,Türen/Fenster
TF-H-076,Fensterrahmen beschädigt durch Feuchtigkeit,Der Fensterrahmen ist feuchtigkeitsbeschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-077,Türmechanik komplett ausgefallen,Die Türmechanik ist komplett ausgefallen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-078,Fenster lässt sich nicht sichern,Das Fenster kann nicht gesichert werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-079,Tür blockiert durch Defekt,Die Tür ist durch einen Defekt blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-080,Fenster steht schief im Rahmen,Das Fenster steht schief im Rahmen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-081,Tür schließt nicht bei Kälte,Die Tür schließt bei Kälte nicht.,HIGH,hoch,hoch,Türen/Fenster
TF-H-082,Fensterrahmen instabil,Der Fensterrahmen ist instabil.,HIGH,hoch,hoch,Türen/Fenster
TF-H-083,Tür lässt sich nicht öffnen oder schließen,Die Tür ist komplett blockiert.,HIGH,hoch,hoch,Türen/Fenster
TF-H-084,Fensterflügel droht herauszufallen,Der Fensterflügel droht herauszufallen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-085,Tür schließt nicht mehr korrekt,Die Tür schließt nicht mehr korrekt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-086,Fenster bei Sturm nicht sicher,Das Fenster ist bei Sturm nicht sicher.,HIGH,hoch,hoch,Türen/Fenster
TF-H-087,Türrahmen stark beschädigt,Der Türrahmen ist stark beschädigt.,HIGH,hoch,hoch,Türen/Fenster
TF-H-088,Fenster undicht und verzogen,Das Fenster ist undicht und verzogen.,HIGH,hoch,hoch,Türen/Fenster
TF-H-089,Tür lässt sich nicht mehr abschließen,Die Tür kann nicht mehr abgeschlossen werden.,HIGH,hoch,hoch,Türen/Fenster
TF-H-090,Fenster stellt Sicherheitsrisiko dar,Das Fenster stellt ein Sicherheitsrisiko dar.,HIGH,hoch,hoch,Türen/Fenster
TF-M-001,Tür schließt schwer,Die Wohnungstür schließt nur mit erhöhtem Kraftaufwand.,MEDIUM,mittel,mittel,Türen/Fenster
TF-M-002,Fenster klemmt leicht,Das Fenster klemmt beim Öffnen.,MEDIUM,mittel,mittel,Türen/Fenster
TF-M-003,Balkontür schließt nicht sauber,Die Balkontür schließt nicht vollständig.,MEDIUM,mittel,mittel,Türen/Fenster
